温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
11,5,2,4100,1000,0,,,1.1,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,2.5,65,75
11,6,2,4100,1000,0,,,1.1,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,6,65,75
11,7,2,4100,1000,0,,,0.9,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
11,8,2,4100,1000,0,,,0.9,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
11,9,2,4100,1000,0,,,0.9,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
11,10,2,4100,1000,0,,,0.8,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
11,11,2,4100,1000,0,,,0.8,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
11,12,2,4100,1000,0,,,0.7,0.001,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
11,13,2,4100,1000,0,,,1.6,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
11,14,2,4100,1000,0,,,0.55,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
11,15,2,4100,1000,0,,,0.4,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
12,1,2,4100,1000,0,,,1.3,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
12,2,2,4100,1000,0,,,1.3,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
12,3,2,4100,1000,0,,,1.2,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
12,4,2,4100,1000,0,,,1.2,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
12,5,2,4100,1000,0,,,1,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
12,6,2,4100,1000,0,,,1,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,1,65,75
12,7,2,4100,1000,0,,,1,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,3,75,85
12,8,2,4100,1000,0,,,1,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,6.5,75,85
